arn, redisTsValue, currentSystemTs, passedTime
arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-calculate-with-redis#72940604-aad6-48d0-a495-571b807e6c26, 1601246972866, 1601246972916, 50
arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-calculate-with-redis#72940604-aad6-48d0-a495-571b807e6c26, 1601246973176, 1601246973232, 56
arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-calculate-with-redis#72940604-aad6-48d0-a495-571b807e6c26, 1601246973361, 1601246973415, 54
arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-start-job-with-redis#0828bbcb-8959-4fc0-94d7-91769adb2ce8, 1601247585219, 1601247585278, 59
arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#0828bbcb-8959-4fc0-94d7-91769adb2ce8, 1601247596438, 1601247596538, 100
arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#0828bbcb-8959-4fc0-94d7-91769adb2ce8, 1601247596438, 1601247596539, 101
arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#0828bbcb-8959-4fc0-94d7-91769adb2ce8, 1601247596900, 1601247596957, 57
arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#0828bbcb-8959-4fc0-94d7-91769adb2ce8, 1601247597481, 1601247597537, 56
arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#0828bbcb-8959-4fc0-94d7-91769adb2ce8, 1601247597528, 1601247597601, 73
arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-calculate-with-redis#0828bbcb-8959-4fc0-94d7-91769adb2ce8, 1601247606201, 1601247606334, 133
arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-calculate-with-redis#0828bbcb-8959-4fc0-94d7-91769adb2ce8, 1601247607547, 1601247607598, 51
arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-calculate-with-redis#0828bbcb-8959-4fc0-94d7-91769adb2ce8, 1601247610032, 1601247610061, 29
arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-calculate-with-redis#0828bbcb-8959-4fc0-94d7-91769adb2ce8, 1601247610032, 1601247610086, 54
arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-calculate-with-redis#0828bbcb-8959-4fc0-94d7-91769adb2ce8, 1601247610233, 1601247610289, 56
arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-start-job-with-redis#da84c277-554b-432a-976d-e4ae0497cf13, 1601247836696, 1601247836826, 130
arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#da84c277-554b-432a-976d-e4ae0497cf13, 1601247847104, 1601247847159, 55
arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#da84c277-554b-432a-976d-e4ae0497cf13, 1601247847153, 1601247847203, 50
arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#da84c277-554b-432a-976d-e4ae0497cf13, 1601247847790, 1601247847838, 48
arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#da84c277-554b-432a-976d-e4ae0497cf13, 1601247847830, 1601247847887, 57
arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#da84c277-554b-432a-976d-e4ae0497cf13, 1601247848527, 1601247848580, 53
arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-calculate-with-redis#da84c277-554b-432a-976d-e4ae0497cf13, 1601247857477, 1601247857591, 114
arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-calculate-with-redis#da84c277-554b-432a-976d-e4ae0497cf13, 1601247857667, 1601247857720, 53
arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-calculate-with-redis#da84c277-554b-432a-976d-e4ae0497cf13, 1601247858277, 1601247858326, 49
arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-calculate-with-redis#da84c277-554b-432a-976d-e4ae0497cf13, 1601247858465, 1601247858517, 52
arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-calculate-with-redis#da84c277-554b-432a-976d-e4ae0497cf13, 1601247858881, 1601247858940, 59
