arn, redisTsValue, currentSystemTs, passedTime, parallelLambdas
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-start-job-with-redis#f5639153-c744-4990-b0d3-f42a9d6c64e5::6a448d91-a5b4-4f7f-86f0-feb86a284d79, 1601581293650, 1601581293726, 76, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#f5639153-c744-4990-b0d3-f42a9d6c64e5::1fd2e520-fcfd-4497-b431-5a2a1b566693, 1601581295365, 1601581296406, 1041, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#f5639153-c744-4990-b0d3-f42a9d6c64e5::1fd2e520-fcfd-4497-b431-5a2a1b566693, 1601581295365, 1601581296406, 1041, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#f5639153-c744-4990-b0d3-f42a9d6c64e5::b7fe518b-b2a2-43ab-8657-9920b5723f45, 1601581295390, 1601581296406, 1016, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#f5639153-c744-4990-b0d3-f42a9d6c64e5::b7fe518b-b2a2-43ab-8657-9920b5723f45, 1601581295390, 1601581296407, 1017, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#f5639153-c744-4990-b0d3-f42a9d6c64e5::b2c57c9a-29e0-4a68-90eb-0adb2f4c654d, 1601581295415, 1601581296407, 992, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#f5639153-c744-4990-b0d3-f42a9d6c64e5::b2c57c9a-29e0-4a68-90eb-0adb2f4c654d, 1601581295415, 1601581296407, 992, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#f5639153-c744-4990-b0d3-f42a9d6c64e5::eb35e7d1-d4ff-4d4d-b205-2b98b84e7bc3, 1601581295420, 1601581296407, 987, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#f5639153-c744-4990-b0d3-f42a9d6c64e5::eb35e7d1-d4ff-4d4d-b205-2b98b84e7bc3, 1601581295420, 1601581296407, 987, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#f5639153-c744-4990-b0d3-f42a9d6c64e5::d7d1c0d2-fde3-46cd-8cc8-5fbe0bbd20b6, 1601581295422, 1601581296407, 985, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#f5639153-c744-4990-b0d3-f42a9d6c64e5::d7d1c0d2-fde3-46cd-8cc8-5fbe0bbd20b6, 1601581295422, 1601581296407, 985, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#f5639153-c744-4990-b0d3-f42a9d6c64e5::9c48fc3e-01cf-4c39-a886-df42f8923659, 1601581295416, 1601581296407, 991, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#f5639153-c744-4990-b0d3-f42a9d6c64e5::9c48fc3e-01cf-4c39-a886-df42f8923659, 1601581295416, 1601581296407, 991, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#f5639153-c744-4990-b0d3-f42a9d6c64e5::93e2e4ef-6d27-48aa-a960-4bbe935eab9e, 1601581295432, 1601581296407, 975, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#f5639153-c744-4990-b0d3-f42a9d6c64e5::93e2e4ef-6d27-48aa-a960-4bbe935eab9e, 1601581295432, 1601581296407, 975, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#f5639153-c744-4990-b0d3-f42a9d6c64e5::ba1cabf2-5e4a-4b22-b561-54a8768cc2b2, 1601581295450, 1601581296407, 957, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#f5639153-c744-4990-b0d3-f42a9d6c64e5::ba1cabf2-5e4a-4b22-b561-54a8768cc2b2, 1601581295450, 1601581296407, 957, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#f5639153-c744-4990-b0d3-f42a9d6c64e5::ebbf893f-853f-4085-b6bf-6a072c061ad3, 1601581295455, 1601581296407, 952, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#f5639153-c744-4990-b0d3-f42a9d6c64e5::ebbf893f-853f-4085-b6bf-6a072c061ad3, 1601581295455, 1601581296407, 952, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#f5639153-c744-4990-b0d3-f42a9d6c64e5::160c1840-0871-4cea-b14e-5d167cd89792, 1601581295460, 1601581296407, 947, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#f5639153-c744-4990-b0d3-f42a9d6c64e5::160c1840-0871-4cea-b14e-5d167cd89792, 1601581295460, 1601581296407, 947, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#f5639153-c744-4990-b0d3-f42a9d6c64e5::91435473-d828-4e92-8573-6e80b7750ddf, 1601581295460, 1601581296407, 947, 40
